index,brewery_id,beer_beerid,review_profilename,review_taste,user_idx,item_idx,predicted_taste
676322,11036,26290,StarlightSeraph,4.5,9966,13460,3.9946088304855056
969147,222,695,StarlightSeraph,4.5,9966,364,4.253937204017903
5341,14879,33644,StarlightSeraph,4.5,9966,17271,4.082418442192835
418542,73,15813,StarlightSeraph,3.5,9966,8077,4.140596862257841
495222,132,1173,Strix,4.0,10121,600,3.9551999548660586
543278,2372,20232,Strix,4.0,10121,10285,4.190439256441285
912679,1762,4948,Strix,3.5,10121,2543,3.712580862166109
892936,147,1056,Strix,4.5,10121,540,4.463074283713384
1047538,710,46550,Strix,3.5,10121,24324,3.265013343753461
6281,936,13009,tbeck,4.0,26782,6756,3.3579610205099995
6182,936,7360,tbeck,2.5,26782,3915,3.8545226141615454
260843,91,2970,tbeck,2.0,26782,1539,2.606165426080393
352917,306,1212,tbeck,2.5,26782,617,3.328498629413509
386882,1396,4481,tbeck,3.5,26782,2272,3.729290529991162
706224,17980,68900,TheSevenDuffs,4.0,10650,37403,3.668775304517436
724231,14078,63264,TheSevenDuffs,1.0,10650,34023,3.600686267592065
320872,16993,56911,TheSevenDuffs,3.5,10650,30336,2.9381076414797267
135037,5318,34094,TheSevenDuffs,4.5,10650,17477,4.185836593782219
414751,73,228,TheSevenDuffs,4.0,10650,118,3.8026122498256223
703926,695,27031,treehugger02010,3.5,27501,13870,3.1740652558842335
1001811,435,20984,treehugger02010,3.5,27501,10700,2.7526338923264984
1002072,435,21041,treehugger02010,3.0,27501,10729,2.9998940922079558
124810,641,7183,treehugger02010,4.0,27501,3818,3.8778259631724663
693706,202,635,treehugger02010,3.0,27501,338,3.9266712645080513
336182,1548,35392,weeare138,4.0,28105,-1,2.9621621220055614
262662,357,28565,weeare138,3.5,28105,14695,3.7034072690486517
315220,35,34832,weeare138,3.5,28105,17855,3.4830442469837393
790020,12959,32269,weeare138,4.5,28105,16555,4.149150638849299
482342,388,8954,weeare138,4.5,28105,4815,4.444871874971024
